Country,Rank,Account,Title,Link,Subscribers count,Views avg.,Likes avg.,Comments avg.,Shares avg.,Scraped
All,60,evcnoble,Everett Noble,https://www.tiktok.com/@evcnoble,9400000.0,4600000.0,1000000.0,5400.0,25400.0,2022-02-07 16:54:35.641971
All,61,nekoglai,Николай,https://www.tiktok.com/@nekoglai,8800000.0,8900000.0,983100.0,11200.0,5100.0,2022-02-07 16:54:35.641971
All,62,evlawler,Lawler,https://www.tiktok.com/@evlawler,4600000.0,6800000.0,1000000.0,7700.0,12100.0,2022-02-07 16:54:35.641971
All,63,ahw5d,Ahmed Ali,https://www.tiktok.com/@ahw5d,2500000.0,10500000.0,649100.0,17700.0,689.0,2022-02-07 16:54:35.641971
All,64,axelwebber,Axel,https://www.tiktok.com/@axelwebber,4099999.9999999995,7300000.0,1600000.0,8100.0,2700.0,2022-02-07 16:54:35.641971
All,65,madison.darwin,madison darwin,https://www.tiktok.com/@madison.darwin,50500.0,18700000.0,601900.0,4800.0,5400.0,2022-02-07 16:54:35.641971
All,66,strangehumano,strangehumman NOVA,https://www.tiktok.com/@strangehumano,7600000.0,7800000.0,1100000.0,6800.0,6200.0,2022-02-07 16:54:35.641971
All,67,alexschlab,Alex,https://www.tiktok.com/@alexschlab,997700.0,5200000.0,1800000.0,7600.0,4500.0,2022-02-07 16:54:35.641971
All,68,masonramsey,Mason Ramsey,https://www.tiktok.com/@masonramsey,1800000.0,10200000.0,1000000.0,6100.0,4100.0,2022-02-07 16:54:35.641971
All,69,connordewolfe,Connor DeWolfe,https://www.tiktok.com/@connordewolfe,5100000.0,4600000.0,1100000.0,5600.0,15900.0,2022-02-07 16:54:35.641971
All,70,drewafualo,Drew Afualo,https://www.tiktok.com/@drewafualo,5700000.0,5000000.0,1100000.0,13200.0,5300.0,2022-02-07 16:54:35.641971
All,71,johnnysins,JohnnySins,https://www.tiktok.com/@johnnysins,6900000.0,6000000.0,667400.0,10600.0,14200.0,2022-02-07 16:54:35.641971
All,72,fujiiian,Fuji,https://www.tiktok.com/@fujiiian,10300000.0,9300000.0,1200000.0,5400.0,3200.0,2022-02-07 16:54:35.641971
All,73,willsmith,Will Smith,https://www.tiktok.com/@willsmith,65599999.99999999,4800000.0,736600.0,6400.0,20100.0,2022-02-07 16:54:35.641971
All,74,jdpantoja,JD Pantoja,https://www.tiktok.com/@jdpantoja,25700000.0,6500000.0,1200000.0,10000.0,1900.0,2022-02-07 16:54:35.641971
All,75,thongsoaicavip,Thông Soái Ca,https://www.tiktok.com/@thongsoaicavip,873900.0,8900000.0,484300.0,12200.0,8400.0,2022-02-07 16:54:35.641971
All,76,vhackerr,Vinnie,https://www.tiktok.com/@vhackerr,13500000.0,5000000.0,742700.0,16300.0,7600.0,2022-02-07 16:54:35.641971
All,77,fadiljaidi,Fadil Jaidi,https://www.tiktok.com/@fadiljaidi,6900000.0,8400000.0,866300.0,7400.0,4500.0,2022-02-07 16:54:35.641971
All,78,seventeen17_official,SEVENTEEN,https://www.tiktok.com/@seventeen17_official,3700000.0,2500000.0,932500.0,22200.0,14100.0,2022-02-07 16:54:35.641971
All,79,sucss.s,Açucena Guirra,https://www.tiktok.com/@sucss.s,9200000.0,6800000.0,1000000.0,7600.0,4200.0,2022-02-07 16:54:35.641971
All,80,usnan_tanong,Usnan Tanong,https://www.tiktok.com/@usnan_tanong,16000.0,5800000.0,405900.0,17400.0,16200.0,2022-02-07 16:54:35.641971
All,81,adrianbliss,Adrian Bliss,https://www.tiktok.com/@adrianbliss,4600000.0,4600000.0,800300.0,3400.0,18000.0,2022-02-07 16:54:35.641971
All,82,deborahyowa,Deborah yowa,https://www.tiktok.com/@deborahyowa,6600000.0,11000000.0,602500.0,8100.0,3200.0,2022-02-07 16:54:35.641971
All,83,stephaniebeatriz,Stephanie Beatriz,https://www.tiktok.com/@stephaniebeatriz,1000000.0,4400000.0,940400.0,6200.0,10800.0,2022-02-07 16:54:35.641971
All,84,candrasptr_,𝗦𝗼𝗺𝗯𝘆𝗮𝗿,https://www.tiktok.com/@candrasptr_,494000.0,3900000.0,575300.0,3300.0,27200.0,2022-02-07 16:54:35.641971
All,85,mycaninelife,My Canine Life,https://www.tiktok.com/@mycaninelife,134000.0,3700000.0,660600.0,4100.0,23300.0,2022-02-07 16:54:35.641971
All,86,vinnyguadagnino,vinnyguadagnino,https://www.tiktok.com/@vinnyguadagnino,2700000.0,7100000.0,505100.0,2300.0,16200.0,2022-02-07 16:54:35.641971
All,87,nguyenphucloi30,Phúc Lợi Vlogs 🇻🇳,https://www.tiktok.com/@nguyenphucloi30,1000000.0,4800000.0,251600.0,38400.0,15800.0,2022-02-07 16:54:35.641971
